Spt,LumClass,Teff,luminosity,radius,mass,Mbol,BC,MV,UminB,BminV,VminI
O5, 5, 44500, 790000.,15.0, 60.0 , -10.10, -4.40,  -5.70, -1.19, -0.33, 
B0, 5, 30000,  52000., 8.4, 17.5 ,  -7.10, -3.16,  -4.00, -1.08, -0.30, -0.355
B5, 5, 15400,    830., 4.1,  5.9 ,  -2.70, -1.46,  -1.20, -0.58, -0.17, -0.165
A0, 5,  9520,     54., 2.7,  2.9 ,  +0.30, -0.30,  +0.60, -0.02, -0.02, +0.004
A5, 5,  8200,     14., 1.9,  2.0 ,  +1.70, -0.15,  +1.90, +0.10, +0.15, +0.186
F0, 5,  7200,     6.5, 1.6,  1.6 ,  +2.60, -0.09,  +2.70, +0.03, +0.30, +0.339
F5, 5,  6440,     2.9, 1.4,  1.4 ,  +3.50, -0.14,  +3.60, -0.02, +0.44, +0.506
G0, 5,  6030,     1.5, 1.0,  1.05,  +4.20, -0.18,  +4.40, +0.06, +0.58, +0.656
G2, 5,  5770,     1.0, 1.0,  1.00,  +4.76, -0.07,  +4.83, +0.16, +0.64, +0.713
G5, 5,  5770,    0.79, 0.85, 0.92,  +4.90, -0.21,  +5.10, +0.20, +0.68, +0.738
K0, 5,  5250,    0.42, 0.79, 0.79,  +5.60, -0.31,  +5.90, +0.45, +0.81, +0.853
K5, 5,  4350,    0.15, 0.68, 0.67,  +6.70, -0.72,  +7.40, +0.98, +1.15, +1.246
M0, 5,  3850,   0.077, 0.63, 0.51,  +7.40, -1.38,  +8.80, +1.22, +1.40, +1.848
M5, 5,  3240,   0.011, 0.33, 0.21,  +9.60, -2.73, +12.30, +1.24, +1.64, +3.277
M8, 5,  2640,  0.0012, 0.17, 0.06, +11.90, -4.10, +16.00, +1.53, +1.93, +4.600
O5, 3, 42500, 990000., 18.0,     , -10.30, -4.05,  -6.30, -1.18, -0.32,   
B0, 3, 29000, 110000., 13.0, 20.0,  -8.00, -2.88,  -5.10, -1.08, -0.29, 
B5, 3, 15000,   1800.,  6.3,  7.0,  -3.50, -1.30,  -2.20, -0.58, -0.17, 
A0, 3, 10100,    106.,  3.4,  4.0,  -0.40, -0.42,  +0.00, -0.07, -0.03, 
A5, 3,  8100,     43.,  3.3,     ,  +0.60, -0.14,  +0.70, +0.11, +0.15, 
F0, 3,  7150,     20.,  2.9,     ,  +1.40, -0.11,  +1.50, +0.08, +0.30, 
F5, 3,  6470,     17.,  3.3,     ,  +1.60, -0.14,  +1.60, +0.09, +0.43, 
G0, 3,  5850,     34.,  5.7,  1.0,  +0.80, -0.20,  +1.00, +0.21, +0.65, 
G5, 3,  5150,     43.,  8.3,  1.1,  +0.60, -0.34,  +0.90, +0.56, +0.86, 
K0, 3,  4750,     60., 11.0,  1.1,  +0.20, -0.50,  +0.70, +0.84, +1.00, 
K5, 3,  3950,    220., 32.0,  1.2,  -1.20, -1.02,  -0.20, +1.81, +1.50, 
M0, 3,  3800,    330., 42.0,  1.2,  -1.60, -1.25,  -0.40, +1.87, +1.56, 
M5, 3,  3330,    930., 92.0,     ,  -2.80, -2.48,  -0.30, +1.58, +1.63, 

